,id,listing_color,main_picture_url
5,1954288,GRAY,https://static.cargurus.com/images/forsale/2020/04/20/17/58/2015_toyota_sienna-pic-4724251184113097765-152x114.jpeg
6,289287,BLUE,https://static.cargurus.com/images/forsale/2020/08/03/04/17/2020_ford_fusion-pic-4843783271763794554-152x114.jpeg
16,1371871,GRAY,https://static.cargurus.com/images/forsale/2020/09/03/22/03/pic-8799883717113611156-152x114.jpeg
23,2100833,UNKNOWN,https://inventory-dmg.assets-cdk.com/1/7/7/24438100771x152.jpg
42,1891980,GRAY,https://static.cargurus.com/images/forsale/2020/08/26/20/37/2019_ford_fusion_hybrid-pic-5570452248033450054-152x114.jpeg
62,902703,GRAY,https://static.cargurus.com/images/forsale/2020/08/31/22/49/2020_chevrolet_traverse-pic-5051234172188715173-152x114.jpeg
63,1880226,GRAY,https://static.cargurus.com/images/forsale/2020/03/25/21/34/2020_ford_ecosport-pic-5966676844290285222-152x114.jpeg
65,915458,GRAY,https://static.cargurus.com/images/forsale/2020/07/31/03/58/2018_chevrolet_equinox-pic-1315791540797769140-152x114.jpeg
75,2037544,GRAY,https://static.cargurus.com/images/forsale/2020/09/10/01/45/2017_gmc_terrain-pic-7133860618731036055-152x114.jpeg
78,405308,GRAY,https://static.cargurus.com/images/forsale/2019/08/30/19/31/2020_honda_civic-pic-1139086192760832855-152x114.jpeg
85,1458823,GRAY,https://static.cargurus.com/images/forsale/2020/09/03/12/56/2020_chevrolet_traverse-pic-4603012665547399409-152x114.jpeg
87,744015,BLACK,https://static.cargurus.com/images/forsale/2020/07/30/22/03/2021_hyundai_palisade-pic-793891289127497159-152x114.jpeg
95,445091,BLACK,https://static.cargurus.com/images/forsale/2020/09/05/10/25/2009_lexus_rx_350-pic-6336521515734926459-152x114.jpeg
100,1659928,GRAY,https://static.cargurus.com/images/forsale/2020/07/03/05/31/2020_gmc_acadia-pic-6080132305370364348-152x114.jpeg
118,34867,GRAY,https://static.cargurus.com/images/forsale/2020/08/07/06/46/2017_nissan_sentra-pic-1770217469589223245-152x114.jpeg
134,376722,BLACK,https://static.cargurus.com/images/forsale/2020/04/06/21/30/2020_gmc_terrain-pic-4025684539293190295-152x114.jpeg
146,1578364,BLACK,https://static.cargurus.com/images/forsale/2020/09/05/07/03/2021_acura_rdx-pic-1932377256393439211-152x114.jpeg
150,1287634,BLACK,https://static.cargurus.com/images/forsale/2020/06/26/03/15/2005_chevrolet_impala-pic-521687095774523501-152x114.jpeg
